,Values
NAV,"8,049.63"
Open Price,"7,975.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"93.0 / 8,171.4"
Day Range,"7,950.00 – 7,995.00"
Year Range,"7,885.00 – 10,335.00"
SEC Yield ,—
12-Month Yield ,2.04%
Premium ,—
Expense Ratio,0.380%
Total Assets,6.8 Bil
