,Fund,Cat. Average,Index
Price/Earnings ,18.14,11.87,—
Price/Book ,2.67,1.05,—
Price/Sales ,2.06,0.73,—
Price/Cash Flow ,8.99,3.83,—
Dividend Yield % ,0.63,2.61,—
Long-Term Earnings % ,25.29,7.31,—
Historical Earnings % ,5.06,8.40,—
Sales Growth % ,-2.80,8.94,—
Cash-Flow Growth % ,-22.49,7.00,—
Book-Value Growth % ,9.49,9.61,—
