,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,198.79,0.00,198.79,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-98.79,109.65,10.86,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
