,Values
NAV,"6,254.39"
Open Price,"6,075.00"
Bid / Ask / Spread,"6,200.00 / 6,205.00 / 0.08%"
Volume / Avg,20.2 Mil / 18.9 Mil
Day Range,"6,040.00 – 6,210.00"
Year Range,"5,420.00 – 18,840.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.670%
Total Assets,1.1 Tril
