,Values
NAV,"8,551.51"
Open Price,"8,600.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"23.0 / 5,520.8"
Day Range,"8,555.00 – 8,600.00"
Year Range,"7,795.00 – 9,370.00"
SEC Yield ,—
12-Month Yield ,1.09%
Premium ,—
Expense Ratio,0.380%
Total Assets,8.6 Bil
