,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-21.91,7.17
Fund (NAV),—,—,—,—,—,—,—,—,—,-22.60,7.06
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-5.93,11.84
+/- Index (Price),—,—,—,—,—,—,—,—,—,-4.28,6.51
Percentile Rank,—,—,—,—,—,—,—,—,—,96,2
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,325"
