,Values
Sustainability Rate,High
Percent Rank in Global Category,1%
Historical Sustainability Score,44.56
Global Category,Korea Equity
Portfolio ESG,50.90
Controversy Deduction,5.94
Sustainability Score,44.96
Sustainability Mandate,No
