,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),50.66,24.15,-10.80,11.12,1.68,-6.16,-0.46,9.69,27.21,-17.13,-3.32
Fund (NAV),52.34,23.85,-11.06,11.76,1.58,-6.24,-0.16,10.03,27.05,-17.33,-2.22
+/ Category (NAV),-3.05,0.90,-0.34,4.78,0.47,-1.16,-4.17,9.34,4.57,-0.65,2.56
+/- Index (Price),-9.61,1.93,-2.23,-3.21,-0.84,1.00,2.36,-4.13,-5.02,0.50,-3.98
Percentile Rank,44,37,47,13,41,48,69,6,18,49,19
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
