,Values
NAV,"25,702.74"
Open Price,"25,490.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"453,008.0 / 331,353.5"
Day Range,"25,400.00 – 25,565.00"
Year Range,"25,225.00 – 30,555.00"
SEC Yield ,—
12-Month Yield ,2.61%
Premium ,—
Expense Ratio,0.110%
Total Assets,631.0 Bil
