,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,2.00,1.64
Fund (NAV),—,—,—,—,—,—,—,—,—,2.03,1.61
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-1.00,-1.50
+/- Index (Price),—,—,—,—,—,—,—,—,—,-2.74,-3.97
Percentile Rank,—,—,—,—,—,—,—,—,—,75,80
# of Funds in Category,—,—,—,—,—,—,—,—,449,545,717
