,Values
NAV,"101,618.99"
Open Price,"101,635.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"116,113.0 / 115,076.1"
Day Range,"101,635.00 – 101,650.00"
Year Range,"100,020.00 – 102,060.00"
SEC Yield ,—
12-Month Yield ,2.01%
Premium ,—
Expense Ratio,0.090%
Total Assets,95.6 Bil
