Sectors,Fund %,Category %
Basic Materials,9.69,8.76
Consumer Cyclical,23.55,20.08
Financial Services,2.42,5.60
Real Estate,2.13,1.77
Communication Services,8.32,4.46
Energy,0.70,1.19
Industrials,17.42,26.53
Technology,16.92,20.10
Consumer Defensive,8.05,4.91
Healthcare,10.57,6.04
Utilities,0.22,0.57
