,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.21,1.05,-0.07,3.48,18.27,6.04,10.96,—,—,—,—
Total Return % (NAV),0.87,0.40,0.88,4.24,18.67,6.23,11.00,—,—,—,11.44
+/- Category (NAV),0.67,0.57,3.86,5.17,11.65,12.74,2.69,—,—,—,—
+/- Index (NAV),0.87,0.55,5.26,6.78,16.55,16.20,4.71,—,—,—,—
