,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,11.37,-6.27,16.24
Fund (NAV),—,—,—,—,—,—,—,—,11.02,-5.46,17.23
+/ Category (NAV),—,—,—,—,—,—,—,—,-12.53,8.20,10.78
+/- Index (Price),—,—,—,—,—,—,—,—,-9.29,9.25,15.38
Percentile Rank,—,—,—,—,—,—,—,—,93,4,8
# of Funds in Category,—,—,—,—,—,—,—,149,165,183,212
