,Values
NAV,"13,929.25"
Open Price,"13,870.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,046.0 / 1,954.4"
Day Range,"13,710.00 – 13,870.00"
Year Range,"11,600.00 – 14,390.00"
SEC Yield ,—
12-Month Yield ,1.80%
Premium ,—
Expense Ratio,0.400%
Total Assets,13.9 Bil
