,Values
NAV,"5,019.15"
Open Price,"5,020.00"
Bid / Ask / Spread,"4,870.00 / 0.00 / 0.00%"
Volume / Avg,"436,023.0 / 466,483.9"
Day Range,"4,995.00 – 5,020.00"
Year Range,"4,810.00 – 5,195.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.290%
Total Assets,25.8 Bil
