,Fund,Category,Index
U.S.Stock,—,0.00,0.00
Non-U.S.Stock,—,54.75,99.76
Bonds,—,0.00,0.00
Other,—,68.93,0.24
Cash,—,10.36,0.00
Not Classified,—,0.00,0.00
