,Fund,Cat. Average,Index
Price/Earnings ,15.64,12.69,12.93
Price/Book ,1.54,1.29,1.09
Price/Sales ,1.00,0.77,0.75
Price/Cash Flow ,9.17,6.09,5.07
Dividend Yield % ,2.12,2.56,2.75
Long-Term Earnings % ,9.18,9.86,9.91
Historical Earnings % ,15.85,2.25,3.93
Sales Growth % ,5.37,3.68,4.11
Cash-Flow Growth % ,1.44,-4.05,-0.06
Book-Value Growth % ,8.74,6.82,7.52
