,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,20.35,-10.36,3.48
Fund (NAV),—,—,—,—,—,—,—,—,20.89,-10.75,4.72
+/ Category (NAV),—,—,—,—,—,—,—,—,-2.67,2.92,-1.74
+/- Index (Price),—,—,—,—,—,—,—,—,-0.31,5.15,2.62
Percentile Rank,—,—,—,—,—,—,—,—,44,44,63
# of Funds in Category,—,—,—,—,—,—,—,149,165,183,212
