,Values
NAV,"13,486.00"
Open Price,"13,440.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,69.0 / 676.0
Day Range,"13,420.00 – 13,520.00"
Year Range,"12,225.00 – 15,790.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.400%
Total Assets,8.1 Bil
