,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,2.21,17.88
Fund (NAV),—,—,—,—,—,—,—,—,—,3.50,15.85
+/ Category (NAV),—,—,—,—,—,—,—,—,—,16.94,0.97
+/- Index (Price),—,—,—,—,—,—,—,—,—,9.58,-2.69
Percentile Rank,—,—,—,—,—,—,—,—,—,1,42
# of Funds in Category,—,—,—,—,—,—,—,—,58,243,370
