,Fund,Cat. Average,Index
Price/Earnings ,28.34,17.17,20.64
Price/Book ,4.98,2.04,3.84
Price/Sales ,4.27,1.37,2.36
Price/Cash Flow ,15.24,7.78,11.93
Dividend Yield % ,0.27,1.69,1.48
Long-Term Earnings % ,17.30,8.11,10.45
Historical Earnings % ,31.00,12.12,18.19
Sales Growth % ,13.43,7.65,8.61
Cash-Flow Growth % ,16.12,13.49,16.51
Book-Value Growth % ,11.77,7.62,8.68
