,Values
NAV,"12,698.33"
Open Price,"12,725.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,257.0 / 1,899.3"
Day Range,"12,710.00 – 12,730.00"
Year Range,"9,980.00 – 13,900.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.640%
Total Assets,10.2 Bil
