Sectors,Fund %,Category %
Basic Materials,0.00,1.01
Consumer Cyclical,24.65,9.12
Financial Services,10.24,2.52
Real Estate,0.00,0.18
Communication Services,2.15,3.47
Energy,0.00,0.08
Industrials,0.00,5.00
Technology,62.95,72.29
Consumer Defensive,0.00,0.22
Healthcare,0.00,5.88
Utilities,0.00,0.21
