Sectors,Fund %,Category %
Basic Materials,6.97,8.70
Consumer Cyclical,10.41,13.65
Financial Services,29.84,11.56
Real Estate,0.38,0.29
Communication Services,8.34,2.34
Energy,8.76,1.96
Industrials,3.83,10.46
Technology,26.52,38.20
Consumer Defensive,4.63,6.64
Healthcare,0.06,4.97
Utilities,0.25,1.23
