,Values
NAV,"9,172.16"
Open Price,"9,120.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,128.0 / 29,498.8"
Day Range,"9,020.00 – 9,120.00"
Year Range,"9,020.00 – 10,790.00"
SEC Yield ,—
12-Month Yield ,2.73%
Premium ,—
Expense Ratio,0.260%
Total Assets,54.6 Bil
