,Values
Sustainability Rate,Average
Percent Rank in Global Category,39%
Historical Sustainability Score,41.82
Global Category,Korea Equity
Portfolio ESG,50.66
Controversy Deduction,8.86
Sustainability Score,41.80
Sustainability Mandate,No
