,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-14.53,-5.33
Fund (NAV),—,—,—,—,—,—,—,—,—,-14.58,-4.79
+/ Category (NAV),—,—,—,—,—,—,—,—,—,2.10,0.08
+/- Index (Price),—,—,—,—,—,—,—,—,—,3.10,-5.82
Percentile Rank,—,—,—,—,—,—,—,—,—,21,56
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,284"
