,Fund,Cat. Average,Index
Price/Earnings ,9.08,11.02,12.13
Price/Book ,0.75,0.84,0.86
Price/Sales ,0.59,0.53,0.65
Price/Cash Flow ,3.69,3.46,3.66
Dividend Yield % ,4.29,3.08,3.48
Long-Term Earnings % ,10.51,10.07,3.69
Historical Earnings % ,8.82,15.26,14.88
Sales Growth % ,4.79,11.25,4.89
Cash-Flow Growth % ,3.39,16.83,15.05
Book-Value Growth % ,7.05,10.86,8.56
