,Fund,Cat. Average,Index
Price/Earnings ,15.94,21.65,18.41
Price/Book ,0.82,2.67,2.59
Price/Sales ,0.55,1.80,1.18
Price/Cash Flow ,6.28,12.60,11.41
Dividend Yield % ,1.98,1.36,2.35
Long-Term Earnings % ,10.54,11.95,9.27
Historical Earnings % ,-17.64,13.32,5.82
Sales Growth % ,0.07,10.36,4.99
Cash-Flow Growth % ,-18.82,6.20,3.63
Book-Value Growth % ,4.14,11.50,7.88
