,Values
Sustainability Rate,Low
Percent Rank in Global Category,92%
Historical Sustainability Score,40.14
Global Category,Consumer Goods & Services Sector Equity
Portfolio ESG,46.53
Controversy Deduction,5.29
Sustainability Score,41.24
Sustainability Mandate,No
