,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-10.25,-16.78
Fund (NAV),—,—,—,—,—,—,—,—,—,-10.38,-16.59
+/ Category (NAV),—,—,—,—,—,—,—,—,—,2.40,-23.83
+/- Index (Price),—,—,—,—,—,—,—,—,—,-0.81,—
Percentile Rank,—,—,—,—,—,—,—,—,—,29,—
# of Funds in Category,—,—,—,—,—,—,—,—,129,129,132
