,Values
NAV,"17,502.02"
Open Price,"17,180.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,718.0 / 39,399.4"
Day Range,"17,180.00 – 17,400.00"
Year Range,"12,800.00 – 18,285.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,1.140%
Total Assets,49.0 Bil
