,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.38,1.03,-3.55,3.48,33.32,20.51,11.92,14.76,—,—,—
Total Return % (NAV),2.08,1.02,-2.43,3.30,35.11,20.52,12.11,14.91,—,—,8.87
+/- Category (NAV),1.17,1.07,1.43,5.67,17.95,19.59,6.25,8.75,—,—,—
+/- Index (NAV),1.90,0.37,2.26,8.46,28.47,25.39,2.48,8.23,—,—,—
