,Fund,Cat. Average,Index
Price/Earnings ,9.77,12.50,9.92
Price/Book ,1.42,1.82,1.26
Price/Sales ,1.40,1.42,1.10
Price/Cash Flow ,5.57,6.00,3.71
Dividend Yield % ,2.96,2.83,3.51
Long-Term Earnings % ,9.05,9.55,8.64
Historical Earnings % ,10.21,13.10,9.92
Sales Growth % ,9.87,10.48,9.83
Cash-Flow Growth % ,25.43,16.38,10.51
Book-Value Growth % ,13.33,9.29,8.65
