,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.82,0.00,199.82,620.20,—
Bonds,1.62,0.00,1.62,8.78,—
Other,0.04,0.00,0.04,3.73,—
Cash,-101.48,174.28,72.80,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
