,Values
NAV,"19,235.49"
Open Price,"18,985.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,438.0 / 1,936.6"
Day Range,"18,865.00 – 19,050.00"
Year Range,"18,525.00 – 27,090.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.100%
Total Assets,6.6 Bil
