,Fund,Cat. Average,Index
Price/Earnings ,9.08,11.87,—
Price/Book ,0.89,1.05,—
Price/Sales ,0.59,0.73,—
Price/Cash Flow ,3.67,3.83,—
Dividend Yield % ,3.01,2.61,—
Long-Term Earnings % ,13.62,7.31,—
Historical Earnings % ,13.55,8.40,—
Sales Growth % ,2.36,8.94,—
Cash-Flow Growth % ,9.16,7.00,—
Book-Value Growth % ,6.36,9.61,—
