Sectors,Fund %,Category %
Basic Materials,9.43,8.70
Consumer Cyclical,14.30,13.65
Financial Services,0.86,11.56
Real Estate,0.00,0.29
Communication Services,1.17,2.34
Energy,1.40,1.96
Industrials,6.64,10.46
Technology,48.49,38.20
Consumer Defensive,10.24,6.64
Healthcare,6.74,4.97
Utilities,0.74,1.23
