,Fund,Cat. Average,Index
Price/Earnings ,10.53,11.02,12.13
Price/Book ,1.11,0.84,0.86
Price/Sales ,0.79,0.53,0.65
Price/Cash Flow ,4.79,3.46,3.66
Dividend Yield % ,2.66,3.08,3.48
Long-Term Earnings % ,19.50,10.07,3.69
Historical Earnings % ,14.90,15.26,14.88
Sales Growth % ,5.95,11.25,4.89
Cash-Flow Growth % ,14.35,16.83,15.05
Book-Value Growth % ,9.68,10.86,8.56
