,Values
NAV,"11,502.45"
Open Price,"11,555.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20.0 / 3,466.6"
Day Range,"11,510.00 – 11,555.00"
Year Range,"11,130.00 – 12,800.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.270%
Total Assets,6.9 Bil
