,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,4.48,4.46
Fund (NAV),—,—,—,—,—,—,—,—,—,4.36,4.19
+/ Category (NAV),—,—,—,—,—,—,—,—,—,1.34,1.08
+/- Index (Price),—,—,—,—,—,—,—,—,—,-0.25,-1.15
Percentile Rank,—,—,—,—,—,—,—,—,—,15,26
# of Funds in Category,—,—,—,—,—,—,—,—,449,545,717
