,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,100.44,0.00,100.44,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,-0.44,8.14,7.70,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
