,Values
NAV,"103,668.06"
Open Price,"103,865.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"100.0 / 11,680.4"
Day Range,"103,620.00 – 103,865.00"
Year Range,"99,185.00 – 103,980.00"
SEC Yield ,—
12-Month Yield ,1.82%
Premium ,—
Expense Ratio,0.100%
Total Assets,33.8 Bil
