,Values
NAV,"11,694.06"
Open Price,"11,665.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"29.0 / 2,172.0"
Day Range,"11,665.00 – 11,695.00"
Year Range,"9,285.00 – 11,815.00"
SEC Yield ,—
12-Month Yield ,2.17%
Premium ,—
Expense Ratio,0.480%
Total Assets,7.0 Bil
