,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-7.25,25.24
Fund (NAV),—,—,—,—,—,—,—,—,—,-7.09,27.64
+/ Category (NAV),—,—,—,—,—,—,—,—,—,4.69,14.66
+/- Index (Price),—,—,—,—,—,—,—,—,—,-2.58,11.65
Percentile Rank,—,—,—,—,—,—,—,—,—,13,1
# of Funds in Category,—,—,—,—,—,—,—,—,64,72,90
