,Fund,Cat. Average,Index
Price/Earnings ,14.02,13.71,—
Price/Book ,1.65,1.73,—
Price/Sales ,1.20,1.19,—
Price/Cash Flow ,8.81,5.33,—
Dividend Yield % ,3.91,2.63,—
Long-Term Earnings % ,8.16,10.31,—
Historical Earnings % ,4.89,17.08,—
Sales Growth % ,0.81,-13.84,—
Cash-Flow Growth % ,3.50,10.00,—
Book-Value Growth % ,2.68,-8.98,—
