,Values
NAV,"7,827.44"
Open Price,"7,830.00"
Bid / Ask / Spread,"0.00 / 8,320.00 / 0.00%"
Volume / Avg,"1,207.0 / 1,254.0"
Day Range,"7,490.00 – 7,830.00"
Year Range,"5,865.00 – 8,730.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.670%
Total Assets,7.8 Bil
