Sectors,Fund %,Category %
Basic Materials,9.27,6.23
Consumer Cyclical,13.43,7.80
Financial Services,16.08,22.50
Real Estate,0.67,12.48
Communication Services,4.35,1.12
Energy,6.48,10.13
Industrials,13.03,7.15
Technology,10.72,15.88
Consumer Defensive,11.49,10.60
Healthcare,9.44,3.51
Utilities,5.03,2.60
