,Values
NAV,"13,799.37"
Open Price,"13,500.00"
Bid / Ask / Spread,"13,605.00 / 13,620.00 / 0.11%"
Volume / Avg,"82,495.0 / 91,299.9"
Day Range,"13,500.00 – 13,655.00"
Year Range,"12,005.00 – 14,380.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.760%
Total Assets,220.8 Bil
