,Values
NAV,"10,568.17"
Open Price,"10,570.00"
Bid / Ask / Spread,"10,555.00 / 0.00 / 0.00%"
Volume / Avg,"123,734.0 / 33,854.3"
Day Range,"10,540.00 – 10,600.00"
Year Range,"9,435.00 – 11,930.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.280%
Total Assets,19.2 Bil
