,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.09,0.09,3.03,2.28,10.06,9.49,—,—,—,—,—
Total Return % (NAV),-0.87,-0.14,3.10,2.65,10.18,9.81,—,—,—,—,2.12
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
