,Values
NAV,"9,389.08"
Open Price,"9,310.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"185,452.0 / 200,290.8"
Day Range,"9,265.00 – 9,340.00"
Year Range,"9,180.00 – 10,395.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.150%
Total Assets,66.7 Bil
