,Fund,Cat. Average,Index
Price/Earnings ,13.86,17.50,15.86
Price/Book ,1.42,2.56,1.99
Price/Sales ,1.11,1.86,1.45
Price/Cash Flow ,6.85,9.84,7.47
Dividend Yield % ,3.63,2.32,2.64
Long-Term Earnings % ,8.42,8.64,9.11
Historical Earnings % ,5.45,8.29,8.71
Sales Growth % ,2.58,3.60,-17.33
Cash-Flow Growth % ,3.62,5.53,4.42
Book-Value Growth % ,4.55,4.22,4.36
