,Values
NAV,"9,964.18"
Open Price,"9,975.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"306.0 / 1,240.6"
Day Range,"9,875.00 – 9,975.00"
Year Range,"9,040.00 – 11,305.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.580%
Total Assets,5.4 Bil
