,Fund,Cat. Average,Index
Price/Earnings ,15.42,13.31,—
Price/Book ,1.79,0.99,—
Price/Sales ,2.53,0.52,—
Price/Cash Flow ,10.10,3.85,—
Dividend Yield % ,0.42,2.16,—
Long-Term Earnings % ,51.48,15.19,—
Historical Earnings % ,15.13,35.81,—
Sales Growth % ,12.12,2.99,—
Cash-Flow Growth % ,14.21,2.81,—
Book-Value Growth % ,8.57,1.55,—
