,Values
NAV,"9,672.14"
Open Price,"9,620.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,108.0 / 680.1
Day Range,"9,595.00 – 9,625.00"
Year Range,"9,410.00 – 11,065.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.330%
Total Assets,6.8 Bil
