,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,99.41,0.00,99.41,5.39,—
Bonds,14.90,0.00,14.90,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,-14.31,188.67,174.35,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
