,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.36,-0.57,-5.15,-4.25,—,—,—,—,—,—,—
Total Return % (NAV),0.16,1.13,-4.37,-4.47,—,—,—,—,—,—,-3.77
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
