,Values
NAV,"6,570.82"
Open Price,"6,635.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"431.0 / 8,267.4"
Day Range,"6,480.00 – 6,635.00"
Year Range,"6,480.00 – 8,945.00"
SEC Yield ,—
12-Month Yield ,3.74%
Premium ,—
Expense Ratio,0.490%
Total Assets,4.1 Bil
