,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-82.77,82.77,0.00,5.39,—
Bonds,16.39,0.00,16.39,12.48,—
Other,17.06,0.00,17.06,19.44,—
Cash,149.31,27.52,176.83,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
