,Values
NAV,"11,631.42"
Open Price,"11,650.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,364.0 / 2,382.0"
Day Range,"11,465.00 – 11,650.00"
Year Range,"9,800.00 – 12,000.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,1.000%
Total Assets,6.4 Bil
