Sectors,Fund %,Category %
Basic Materials,0.00,9.15
Consumer Cyclical,1.28,17.36
Financial Services,0.00,6.02
Real Estate,0.00,1.52
Communication Services,0.00,0.59
Energy,0.00,0.85
Industrials,2.40,14.91
Technology,96.32,23.36
Consumer Defensive,0.00,7.26
Healthcare,0.00,18.74
Utilities,0.00,0.24
