,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,40.05,-33.97,3.11
Fund (NAV),—,—,—,—,—,—,—,—,39.94,-33.97,4.05
+/ Category (NAV),—,—,—,—,—,—,—,—,17.28,-15.83,13.02
+/- Index (Price),—,—,—,—,—,—,—,—,21.25,-22.08,18.20
Percentile Rank,—,—,—,—,—,—,—,—,9,100,11
# of Funds in Category,—,—,—,—,—,—,—,256,272,369,476
